marine_site_name,cbs_site_code,latitude,longitude,georegion,bioregion,mpa_designation,mpa_name,nms_name,asbs_name,island,state_province,survey_rep,year,species_lump,total_count,number_of_transects_sampled,est_swath_area_searched_m2,density_per_m2
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Dermasterias imbricata,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Evasterias troschelii,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Heliaster kubiniji,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Henricia spp,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Linckia columbiae,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Patiria miniata,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Pisaster giganteus,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Pisaster ochraceus,23,11,718.66,0.032004008
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4,2012,Pycnopodia helianthoides,0,11,718.66,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Dermasterias imbricata,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Evasterias troschelii,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Heliaster kubiniji,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Henricia spp,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Linckia columbiae,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Patiria miniata,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Pisaster giganteus,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Pisaster ochraceus,2,21,1233.5,0.001621403
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.1,2015,Pycnopodia helianthoides,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Dermasterias imbricata,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Evasterias troschelii,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Heliaster kubiniji,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Henricia spp,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Linckia columbiae,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Patiria miniata,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Pisaster giganteus,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Pisaster ochraceus,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,4.2,2015,Pycnopodia helianthoides,0,21,1233.5,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Dermasterias imbricata,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Evasterias troschelii,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Heliaster kubiniji,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Henricia spp,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Linckia columbiae,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Patiria miniata,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Pisaster giganteus,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Pisaster ochraceus,3,21,1155,0.002597403
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5,2015,Pycnopodia helianthoides,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Dermasterias imbricata,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Evasterias troschelii,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Heliaster kubiniji,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Henricia spp,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Linckia columbiae,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Patiria miniata,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Pisaster giganteus,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Pisaster ochraceus,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,5.1,2015,Pycnopodia helianthoides,0,21,1155,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Dermasterias imbricata,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Evasterias troschelii,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Heliaster kubiniji,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Henricia spp,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Linckia columbiae,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Patiria miniata,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Pisaster giganteus,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Pisaster ochraceus,1,11,774,0.00129199
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,6,2016,Pycnopodia helianthoides,0,11,774,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,7,2016,Dermasterias imbricata,0,21,1233.5,0
